,relative_weight,storage_type,energy_stored
0,0.1,0,0.0
1,0.1,1,0.0
2,0.1,2,0.0
3,0.1,3,131840.21871149627
4,1.0,0,7171.914698900839
5,1.0,1,20131.479306003508
6,1.0,2,25135.08351281876
7,1.0,3,79401.74119377317
8,10.0,0,40807.899707126504
9,10.0,1,37846.95922408075
10,10.0,2,27179.52588149779
11,10.0,3,26005.833898791236
12,100.0,0,40807.8997071265
13,100.0,1,37846.95922408075
14,100.0,2,27179.525881497793
15,100.0,3,26005.833898791236
16,1000.0,0,40807.8997071265
17,1000.0,1,37846.95922408075
18,1000.0,2,27179.525881497793
19,1000.0,3,26005.83389879124
