,relative_weight,storage_type,energy_stored
0,0.1,0,0.0
1,0.1,1,0.0
2,0.1,2,0.0
3,0.1,3,26.336176877049088
4,1.0,0,1.4326494290083471
5,1.0,1,4.0214299170707495
6,1.0,2,5.020941346142299
7,1.0,3,15.861156184827694
8,10.0,0,8.151716336420558
9,10.0,1,7.560243923479934
10,10.0,2,5.429335661342029
11,10.0,3,5.194880955806571
12,100.0,0,8.151716336420556
13,100.0,1,7.560243923479934
14,100.0,2,5.429335661342029
15,100.0,3,5.194880955806571
16,1000.0,0,8.151716336420556
17,1000.0,1,7.560243923479934
18,1000.0,2,5.429335661342029
19,1000.0,3,5.194880955806572
